"Username","Related","Unrelated","Encoding"
"20306662",4599.21052631579,3765.3,"item"
"20308360_AC",2494.5652173913,2520.25,"item"
"20322866",5630.73684210526,4966.45454545455,"item"
"20328171",5409.23076923077,5865.19047619048,"item"
"20328463",2878.54166666667,2074.33333333333,"item"
"M20243667",4297.85714285714,4577,"item"
"M20265302_MJL",4729.77272727273,4626.08333333333,"item"
"M20276452_TBT",3948,3716.375,"item"
"M20276467",4232.80952380952,3791.45833333333,"item"
"M20283523",4296.15,3161.25,"item"
"M20291305",2349.70833333333,2444.45833333333,"item"
"m20301357",4066.09523809524,3262.95454545455,"item"
"M20302138_ASE",3194.40909090909,3232.29166666667,"item"
"M20304204",2038.16666666667,2238.08333333333,"item"
"M20309742",7902.85714285714,7415.85714285714,"item"
"M20312469",3359.90909090909,3429.4347826087,"item"
"M20312669",4387.35714285714,5081.86363636364,"item"
"M20316163_AFH",4130.52380952381,3563.69565217391,"item"
"M20316577",3892.69565217391,3914.21739130435,"item"
"M20319612SMW",2267.71428571429,2100.16666666667,"item"
"M20319728",7257.33333333333,6799.45454545455,"item"
"M20320387_egh",3381.60869565217,3046.39130434783,"item"
"m20321377",2821.70833333333,2588.41666666667,"item"
"M20322521",3853.14285714286,5201.875,"item"
"M20322694_ALB",4011.82608695652,4066.86956521739,"item"
"M20322886",5997.8,5990,"item"
"M20323332_DKV",2504.60869565217,2232.625,"item"
"M20323585",4188.39130434783,4307.81818181818,"item"
"M20324107",3819.08333333333,3126.33333333333,"item"
"M20324618",4098.2380952381,3932.69565217391,"item"
"M20324775",5360.73333333333,4630.9375,"item"
"M20325842",2846.28571428571,2228.83333333333,"item"
"M20330003_MKG",4601.25,4134.30434782609,"item"
"M20331086",3642.9,4218.80952380952,"item"
"M20331432_JB",5196,3863.5,"item"
"M20331476",1861,1764.64285714286,"item"
"M20332037",4271.39130434783,3445.65217391304,"item"
"M20333217",3274.04545454545,2999.41666666667,"item"
"M40324880",2278.72727272727,2098.20833333333,"item"
"20322939",1542.6,2082.66666666667,"global"
"20322965",1995.4,1481.5,"global"
"20335770",3201.2,1408.5,"global"
"M10356731",2185.5,1707.625,"global"
"M20277243_SKS",1570.79166666667,1895.29166666667,"global"
"m20280673",4957.95652173913,4136.08695652174,"global"
"M20293123",2597.59090909091,4306.95454545455,"global"
"M20293288",1286.25,2328.85714285714,"global"
"M20295968",5776.3,8014.16666666667,"global"
"M20301881_GM",1940.52631578947,1445,"global"
"M20302792",1719.88888888889,1563,"global"
"M20307961",1842.14285714286,1352,"global"
"M20308203_KDL",1324.41666666667,1642.83333333333,"global"
"M20308397",1493.27272727273,1854.25,"global"
"m20310291",1907.625,2495.11111111111,"global"
"M20315108",1624.5,1703.04166666667,"global"
"M20315390_JKL",2196,1263.5,"global"
"M20316100",1143.1,1122,"global"
"M20316174",1325.83333333333,1528,"global"
"M20316548",4766.18181818182,4377.875,"global"
"M20317313",4224.4,3197,"global"
"M20317351",3530.625,2486.25,"global"
"M20319485",2296,1409.125,"global"
"m20320237",4947,1260,"global"
"M20321343!",1959.46153846154,1325.9,"global"
"M20321413",4760.55555555556,6938.6,"global"
"M20321533",3704,2137,"global"
"M20321748",1247.375,1327,"global"
"M20322696_MNC",3073.80952380952,3781.52173913043,"global"
"M20322859",1624.45833333333,1449.21739130435,"global"
"M20324037_AP.",1589.25,NA,"global"
"m20326074",2023.27272727273,1653.0625,"global"
"M20326354_SNC.",1395.5,1241.25,"global"
"M20326622",1955.66666666667,1408.33333333333,"global"
"m20327174",1473.2,1408.44444444444,"global"
"M20327498",3421.29166666667,2189,"global"
"M20329016",5516,1693,"global"
"M20330660_MLM",3639.04347826087,2595.16666666667,"global"
"M20333212_HDW",1285.33333333333,1126.16666666667,"global"
"M20337010",2680.55555555556,4257,"global"
"20291142",5634.5,6281.71428571429,"read"
"20302746",3013.42857142857,NA,"read"
"20320535",2166.92307692308,1872.63636363636,"read"
"20321578",3475.15384615385,3107.76923076923,"read"
"20322440",1507.28571428571,1342.52173913043,"read"
"20327605",1693.92857142857,3353.5,"read"
"M20301992",3982.08695652174,2607.625,"read"
"M20303251_AAR",4316.70588235294,5559.58823529412,"read"
"M20304460_DNI",4971.75,4662.78260869565,"read"
"M20304792_AEM",1374.85714285714,1424,"read"
"M20311413",1201.66666666667,1188.85714285714,"read"
"M20312217",2898.95833333333,3350.5,"read"
"M20316111_ARD",2021.6,1901.66666666667,"read"
"M20316458",2264.6875,1702.0625,"read"
"M20316465",1777.79166666667,1909.29166666667,"read"
"M20316492!",1304.07142857143,1349.04761904762,"read"
"M20316526",3053.85714285714,4256,"read"
"M20317061",1430,1271,"read"
"M20317208",3077.18181818182,2217.90909090909,"read"
"M20319575",1447.125,1409.91666666667,"read"
"m20319677",4639.39130434783,3037,"read"
"M20320375",1142.5,1217.5,"read"
"M20320646",2986,2372.58333333333,"read"
"M20320940",1424.5,3754,"read"
"M20321393",1744.70833333333,2043.91304347826,"read"
"M20321578",1558.08333333333,1865.33333333333,"read"
"M20322322",2925.65217391304,3775.70833333333,"read"
"M20322809",2207.16666666667,2161.70833333333,"read"
"m20322960",2732.5,1977.14285714286,"read"
"M20323930",1472.60869565217,1546.125,"read"
"M20324255",4851.42857142857,3490.39130434783,"read"
"M20327473",1187.57142857143,1207.27272727273,"read"
"M20329777",1363.42857142857,1616,"read"
"M20330179",2931.80952380952,3067.4347826087,"read"
"M20331128",5766.15789473684,5210.11764705882,"read"
"M2033128",1893.25,1835.04166666667,"read"
"M20331846",2144.3,2673.70833333333,"read"
"M20334868",2095.44444444444,1266.5,"read"
"M20335574",1365,1354,"read"
"m20335829",1594.08333333333,1524.5,"read"
