"Username","Related","Unrelated","encoding"
"20306662",85.2083333333333,68.3333333333333,"item"
"20308360_AC",89.5833333333333,89.5833333333333,"item"
"20322866",36.6666666666667,33.3333333333333,"item"
"20328171",74.4166666666667,61.75,"item"
"20328463",77.0833333333333,83.9583333333333,"item"
"M20243667",67.5,51.4583333333333,"item"
"M20265302_MJL",53.7083333333333,44.2083333333333,"item"
"M20276452_TBT",69.5833333333333,46.4583333333333,"item"
"M20276467",52.75,56.5416666666667,"item"
"M20283523",69.5833333333333,69.3478260869565,"item"
"M20291305",35.4583333333333,41.25,"item"
"m20301357",48,33.875,"item"
"M20302138_ASE",59.1666666666667,62.5,"item"
"M20304204",72.9166666666667,70,"item"
"M20309742",66.625,58.0833333333333,"item"
"M20312469",87.5,70.8333333333333,"item"
"M20312669",79.5833333333333,82.0833333333333,"item"
"M20316163_AFH",68.6666666666667,70.5416666666667,"item"
"M20316577",69.125,56.25,"item"
"M20319612SMW",94.1666666666667,95.5,"item"
"M20319728",81.0416666666667,79.1666666666667,"item"
"M20320387_egh",50.8333333333333,47.5,"item"
"m20321377",49.1666666666667,41.25,"item"
"M20322521",53.5833333333333,75.2916666666667,"item"
"M20322694_ALB",81.0416666666667,81.25,"item"
"M20322886",75.125,64.2916666666667,"item"
"M20323332_DKV",71.6666666666667,70.8333333333333,"item"
"M20323585",85.4166666666667,78.5416666666667,"item"
"M20324107",57.6666666666667,46.375,"item"
"M20324618",75,66.0416666666667,"item"
"M20324775",68.5416666666667,52.5,"item"
"M20325842",58.6086956521739,60,"item"
"M20330003_MKG",54.625,38.6666666666667,"item"
"M20331086",65.2173913043478,53.9130434782609,"item"
"M20331432_JB",79.1666666666667,75.4166666666667,"item"
"M20331476",53.3333333333333,54.5833333333333,"item"
"M20332037",34.7916666666667,40.0833333333333,"item"
"M20333217",85.5,80.2083333333333,"item"
"M40324880",85,28.3333333333333,"item"
"20322939",60,75,"global"
"20322965",77.5,80,"global"
"20335770",48.5,46,"global"
"M10356731",96.5,92.5,"global"
"M20277243_SKS",85,42.5,"global"
"m20280673",87.5,77.5,"global"
"M20293123",60,50,"global"
"M20293288",42.5,44,"global"
"M20295968",75,55,"global"
"M20301881_GM",50,55,"global"
"M20302792",77.5,40,"global"
"M20307961",15,50,"global"
"M20308203_KDL",50,5,"global"
"M20308397",50,50,"global"
"m20310291",12.5,87.5,"global"
"M20315108",20,37.5,"global"
"M20315390_JKL",37.5,1.5,"global"
"M20316100",90,92.5,"global"
"M20316174",80,80,"global"
"M20316548",57.5,42.5,"global"
"M20317313",62.5,97.5,"global"
"M20317351",87.5,87.5,"global"
"M20319485",55,69,"global"
"m20320237",35,12.5,"global"
"M20321343!",40,55,"global"
"M20321413",12.5,45,"global"
"M20321533",25,50,"global"
"M20321748",84,1.5,"global"
"M20322696_MNC",95,85,"global"
"M20322859",80,90,"global"
"M20324037_AP.",22.5,27.5,"global"
"m20326074",57.5,47.5,"global"
"M20326354_SNC.",75,37.5,"global"
"M20326622",42.5,60,"global"
"m20327174",50,50,"global"
"M20327498",65,47.5,"global"
"M20329016",19,47.5,"global"
"M20330660_MLM",60,70,"global"
"M20333212_HDW",50,5,"global"
"M20337010",55,75,"global"
